15	2	20	0																			
0	0	8	13	2	16	26	14	6	12	5	15	21	13	10	20	14	0	0	0	0	40.758366	-73.986267
1	10	0	14	10	17	26	16	7	10	13	17	18	8	11	15	16	-2	7	0	3	40.788925	-73.940559
2	12	12	0	13	14	20	9	15	19	14	20	11	17	14	20	19	3	6	4	4	40.741795	-73.904915
3	3	9	14	0	17	28	16	5	11	6	14	21	14	11	20	13	-4	7	0	7	40.765308	-73.997482
4	17	17	14	16	0	21	7	20	24	14	9	22	22	10	29	9	-2	6	0	26	40.68906	-73.988869
5	28	28	20	28	22	0	22	31	31	29	30	17	29	28	25	29	2	6	4	36	40.644363	-73.782494
6	14	14	9	15	8	21	0	17	20	14	12	17	19	8	26	12	-1	6	3	46	40.709099	-73.95871
7	7	6	15	5	19	30	17	0	8	9	17	21	11	13	17	17	1	7	2	47	40.792446	-73.973457
8	12	9	18	10	23	30	21	8	0	14	22	19	8	16	13	21	-1	7	3	51	40.841221	-73.939781
9	6	12	15	5	14	28	15	9	14	0	11	23	17	8	23	11	-3	7	2	61	40.747822	-74.003807
10	15	15	20	13	9	29	12	17	22	11	0	28	20	11	27	3	2	6	4	72	40.708706	-74.011108
11	16	18	10	17	19	16	13	20	24	18	24	0	23	18	20	23	-1	7	3	74	40.744846	-73.837311
12	13	7	16	13	20	27	19	11	8	16	19	17	0	14	10	18	1	6	2	79	40.816895	-73.910713
13	10	10	15	11	11	28	8	14	17	9	11	23	16	0	22	11	4	7	5	84	40.728703	-73.984146
14	22	17	21	20	30	25	27	19	13	25	29	15	12	24	0	28	-3	6	2	86	40.855473	-73.822784
15	12	15	19	11	8	28	12	15	20	8	2	27	20	10	27	0	4	7	0	98	40.709751	-74.014778

