15	2	20	0																			
0	0	15	19	16	17	16	18	11	15	17	18	14	20	11	18	15	0	0	0	0	40.700169	-73.924751
1	14	0	8	3	23	14	8	10	3	13	23	12	9	10	24	17	2	7	5	6	40.746304	-73.981247
2	19	9	0	7	27	16	3	14	7	16	28	15	2	15	29	21	3	6	5	8	40.782097	-73.971985
3	16	4	9	0	24	16	9	11	3	12	25	10	10	10	26	19	-1	7	3	14	40.750278	-73.991364
4	19	26	30	27	0	20	30	26	26	30	4	30	31	27	7	16	-1	7	1	21	40.643822	-73.790276
5	15	14	16	15	18	0	15	19	15	24	18	23	17	20	19	11	0	7	5	24	40.772804	-73.896767
6	18	7	3	8	26	15	0	12	7	15	27	16	4	14	28	20	1	6	5	44	40.779251	-73.96196
7	11	9	15	11	24	18	14	0	11	9	25	7	16	4	26	21	1	7	1	45	40.716293	-73.991768
8	16	4	7	2	24	16	9	11	0	12	25	11	8	12	26	19	1	7	2	54	40.754494	-73.992294
9	16	13	16	13	27	24	16	8	13	0	28	4	17	7	29	27	-1	7	1	56	40.706738	-74.016609
10	19	25	30	26	3	19	29	26	26	30	0	29	31	26	6	16	2	6	5	57	40.641407	-73.788528
11	14	12	13	10	27	23	16	6	10	5	28	0	14	4	28	26	-1	7	0	66	40.721645	-74.011452
12	20	10	2	8	28	17	4	15	7	17	29	15	0	16	30	22	-2	6	0	88	40.785599	-73.972038
13	12	9	16	10	25	19	15	4	10	8	26	5	17	0	27	22	-1	6	1	89	40.719452	-73.997314
14	20	26	31	28	7	20	31	27	27	31	8	31	32	27	0	17	-1	7	0	91	40.64505	-73.778877
15	16	17	21	18	14	10	20	21	18	27	15	26	22	22	15	0	0	6	4	97	40.75325	-73.822182
