20	2	20	0																								
0	0	12	19	16	16	17	17	16	21	21	21	18	17	14	9	14	16	20	11	18	15	0	0	0	0	40.700169	-73.924751
1	14	0	13	10	8	11	27	19	14	14	14	28	8	10	13	10	10	14	7	29	22	2	7	3	7	40.725391	-73.978111
2	19	11	0	7	7	5	27	16	7	4	5	28	11	15	19	15	5	2	15	29	21	-1	6	2	8	40.782097	-73.971985
3	16	8	9	0	6	5	24	16	13	10	12	25	6	10	16	10	5	10	10	26	19	1	7	4	14	40.750278	-73.991364
4	15	8	7	6	0	5	24	13	9	9	9	24	11	15	17	14	3	8	13	25	17	2	7	5	17	40.754536	-73.963387
5	18	10	5	4	5	0	26	15	11	6	9	27	7	12	18	12	3	6	13	28	20	-1	7	1	18	40.76305	-73.986824
6	19	28	30	27	27	28	0	20	28	32	29	4	32	30	22	29	27	31	27	7	16	-2	6	0	21	40.643822	-73.790276
7	15	18	16	15	14	15	18	0	13	16	13	18	20	23	20	23	14	17	20	19	11	-2	7	0	24	40.772804	-73.896767
8	21	12	7	11	9	10	25	12	0	6	3	25	15	18	20	18	10	7	17	26	18	-1	6	3	25	40.808891	-73.944878
9	21	12	3	9	9	7	29	16	6	0	4	29	11	15	21	15	7	4	16	30	22	1	7	1	41	40.796078	-73.970924
10	21	12	4	11	9	9	26	13	3	3	0	26	14	18	21	18	9	4	17	27	19	1	6	5	49	40.802586	-73.956795
11	19	28	30	26	27	28	3	19	27	31	28	0	31	29	22	29	27	31	26	6	16	1	7	2	57	40.641407	-73.788528
12	17	7	11	6	10	8	28	20	16	12	14	29	0	7	14	7	9	13	7	30	23	2	7	1	65	40.737576	-74.005592
13	14	10	13	10	14	11	27	23	18	14	16	28	5	0	9	3	12	14	4	28	26	-4	6	0	66	40.721645	-74.011452
14	10	12	21	17	16	19	21	19	22	22	22	21	14	11	0	10	18	22	8	22	22	1	7	3	72	40.686386	-73.985519
15	13	10	14	11	12	13	26	23	18	15	17	27	7	3	8	0	14	16	5	27	25	1	6	3	73	40.714813	-74.009689
16	16	9	5	5	4	4	24	14	10	8	9	25	10	15	18	15	0	6	13	26	18	3	6	5	87	40.764809	-73.976494
17	20	12	2	8	8	6	28	17	8	4	5	29	11	15	20	15	6	0	16	30	22	1	7	3	88	40.785599	-73.972038
18	12	7	16	10	11	12	25	19	17	16	17	26	7	5	8	5	12	17	0	27	22	1	6	5	89	40.719452	-73.997314
19	20	29	31	28	28	29	7	20	29	32	30	8	32	31	23	30	28	32	27	0	17	-2	7	0	91	40.64505	-73.778877
20	16	21	21	18	18	20	14	10	19	23	20	15	23	26	22	25	18	22	22	15	0	-1	7	0	97	40.75325	-73.822182
