15	2	20	0																			
0	0	12	13	16	17	11	16	11	15	17	14	16	14	14	12	11	0	0	0	0	40.700169	-73.924751
1	14	0	3	10	9	7	6	6	10	8	10	6	10	4	6	7	-1	6	0	7	40.725391	-73.978111
2	14	3	0	9	7	7	5	6	8	7	10	5	9	3	6	7	1	7	3	12	40.729687	-73.982422
3	16	8	8	0	2	11	4	11	3	6	10	5	10	6	8	10	-1	7	4	14	40.750278	-73.991364
4	17	8	6	4	0	10	3	10	4	4	9	3	9	5	7	9	1	7	3	19	40.744804	-73.99514
5	12	7	7	12	11	0	8	3	12	8	4	8	4	8	4	2	-2	7	0	32	40.713825	-73.99826
6	16	7	5	4	4	9	0	10	4	7	11	4	10	4	7	8	-2	7	1	43	40.741051	-73.98558
7	11	5	5	11	10	3	8	0	11	9	7	7	6	6	4	4	1	7	5	45	40.716293	-73.991768
8	16	8	8	2	4	12	6	11	0	6	11	6	11	7	10	12	-2	6	1	54	40.754494	-73.992294
9	17	7	5	6	5	9	6	9	6	0	7	4	7	7	6	7	2	7	5	65	40.737576	-74.005592
10	14	10	9	10	8	5	10	6	10	5	0	7	3	10	5	4	1	7	5	66	40.721645	-74.011452
11	16	6	4	5	4	8	4	8	6	4	8	0	8	4	4	6	1	7	4	70	40.737167	-73.992897
12	13	10	10	11	10	5	10	6	11	7	3	9	0	10	6	5	1	7	1	73	40.714813	-74.009689
13	15	3	4	7	6	8	3	7	7	8	11	4	11	0	7	8	1	6	3	74	40.734207	-73.977875
14	13	5	4	9	8	4	5	5	9	6	6	5	5	6	0	3	0	7	5	84	40.725117	-73.995758
15	12	7	6	10	9	3	6	4	10	7	5	6	5	7	2	0	1	6	1	89	40.719452	-73.997314
