12	2	20	0																
0	0	15	12	20	13	17	14	21	21	18	15	21	18	0	0	0	0	40.700169	-73.924751
1	15	0	4	13	3	27	2	14	14	28	3	14	29	1	6	4	4	40.732471	-73.991203
2	14	5	0	14	3	27	4	14	14	28	5	13	29	-1	6	1	7	40.725391	-73.978111
3	20	13	12	0	13	29	13	2	5	29	12	3	30	2	6	1	10	40.790546	-73.976967
4	14	4	3	14	0	27	3	13	13	28	4	13	28	2	7	5	12	40.729687	-73.982422
5	19	30	28	32	29	0	29	32	29	4	29	31	7	-1	7	4	21	40.643822	-73.790276
6	14	2	4	13	2	26	0	13	13	26	2	12	27	-2	6	4	29	40.732681	-73.987488
7	21	14	12	2	13	29	12	0	4	29	12	3	30	1	6	2	41	40.796078	-73.970924
8	21	14	12	5	13	26	13	3	0	26	12	4	27	-2	6	0	49	40.802586	-73.956795
9	19	29	28	31	29	3	29	31	28	0	28	31	6	-2	7	0	57	40.641407	-73.788528
10	16	2	5	12	3	25	2	13	13	26	0	12	27	2	6	5	67	40.736671	-73.9869
11	20	13	11	2	12	28	12	2	4	29	11	0	30	1	6	2	83	40.792828	-73.96949
12	20	31	29	33	30	7	30	32	30	8	29	32	0	1	7	3	91	40.64505	-73.778877
