12	2	20	0																
0	0	6	18	16	8	7	6	4	5	21	8	10	20	0	0	0	0	40.758366	-73.986267
1	5	0	16	16	4	4	5	7	8	19	10	10	19	-1	6	3	17	40.751068	-73.99398
2	17	15	0	18	16	17	18	16	18	8	20	18	17	-2	6	1	24	40.76923	-73.969566
3	17	17	19	0	18	19	20	16	14	22	11	10	29	1	6	0	26	40.774044	-73.872849
4	8	4	18	16	0	3	5	10	11	20	12	10	17	2	6	5	31	40.68906	-73.988869
5	7	3	17	16	2	0	6	9	10	20	12	10	18	-2	7	2	34	40.780216	-73.957314
6	7	6	19	19	5	5	0	9	9	21	13	13	17	-2	6	1	47	40.774559	-73.963959
7	3	7	18	15	9	9	8	0	4	20	6	8	21	1	6	5	5	40.792446	-73.973457
8	6	9	20	14	11	11	9	3	0	23	5	8	23	-4	7	1	61	40.747822	-74.003807
9	16	16	11	19	17	18	20	16	18	0	19	18	20	1	7	5	74	40.744846	-73.837311
10	8	11	21	11	13	12	12	5	5	24	0	4	25	1	7	3	78	40.734177	-73.999748
11	10	10	21	11	12	12	14	10	9	23	5	0	22	1	7	1	84	40.728703	-73.984146
12	22	20	18	30	18	20	19	23	25	15	26	24	0	1	7	0	86	40.855473	-73.822784
