12	2	20	0																
0	0	17	23	24	19	18	21	21	18	17	21	21	18	0	0	0	0	52.5164621	13.2891357
1	17	0	37	37	9	12	35	10	8	9	35	8	6	-2	7	2	3	52.6028361	13.3453738
2	23	37	0	6	39	38	6	41	38	37	6	41	38	1	6	5	15	52.4086306	13.3328109
3	24	38	6	0	40	38	4	41	39	39	5	42	40	1	6	3	16	52.406026	13.348324
4	19	9	39	39	0	7	37	4	15	16	37	4	13	-2	6	2	22	52.587385	13.3778879
5	18	13	38	38	7	0	35	5	18	19	35	7	16	-5	6	0	34	52.5742565	13.3951079
6	22	36	6	4	38	35	0	38	37	36	2	39	37	2	7	3	38	52.4159966	13.3544164
7	21	9	40	41	4	5	38	0	15	16	38	3	13	1	7	4	46	52.5894024	13.3909483
8	18	8	38	38	15	18	35	15	0	2	36	13	6	-1	6	2	53	52.6116643	13.3034178
9	17	9	37	37	16	19	35	16	2	0	35	14	7	-2	6	0	62	52.6085688	13.3010305
10	22	36	6	4	38	36	2	39	37	36	0	40	38	1	6	3	65	52.4168263	13.3485964
11	21	8	41	41	4	6	38	3	13	14	39	0	11	1	7	5	68	52.5948481	13.3836154
12	19	6	38	39	13	16	36	13	6	7	36	11	0	2	6	4	81	52.6082011	13.3314859

