12	2	20	0																
0	0	41	26	31	33	32	26	32	27	30	23	31	27	0	0	0	0	52.445426	13.3710411
1	42	0	26	17	44	18	21	57	41	59	47	56	29	-2	7	2	12	52.5356644	13.6223129
2	26	25	0	16	43	18	13	46	40	45	36	45	18	1	6	5	17	52.4743154	13.5350334
3	31	16	18	0	49	24	20	51	46	50	42	51	15	1	6	3	22	52.468329	13.5893169
4	32	44	44	49	0	32	36	35	7	36	23	32	47	-2	6	2	26	52.6071109	13.331085
5	32	18	20	25	31	0	15	46	29	48	34	44	30	-5	6	0	31	52.5558158	13.5046625
6	27	21	14	20	34	14	0	45	32	46	34	44	24	2	7	3	35	52.5068707	13.4918769
7	31	57	45	51	34	47	45	0	28	34	15	10	46	1	7	4	48	52.4916686	13.1791125
8	26	42	40	46	8	29	33	29	0	30	17	25	41	-1	6	2	55	52.5842982	13.3087666
9	31	60	46	51	36	49	45	35	30	0	26	35	46	-2	6	0	60	52.4119891	13.1458458
10	21	47	36	41	23	35	35	15	16	25	0	12	37	1	6	3	61	52.5225664	13.238537
11	30	56	45	50	32	44	44	10	25	33	12	0	46	1	7	5	76	52.525979	13.1578475
12	27	29	18	14	48	30	22	47	42	46	38	46	0	2	6	4	94	52.4219274	13.5751577

