12	2	20	0																
0	0	20	17	21	11	21	11	21	18	14	14	11	18	0	0	0	0	40.700169	-73.924751
1	20	0	29	7	16	2	15	5	29	14	14	16	30	-1	6	3	10	40.790546	-73.976967
2	19	32	0	28	27	32	26	29	4	30	29	27	7	-2	6	1	21	40.643822	-73.790276
3	21	7	25	0	16	6	15	3	25	18	18	17	26	1	6	0	25	40.808891	-73.944878
4	12	16	25	16	0	16	3	16	26	4	4	2	26	2	6	5	32	40.713825	-73.99826
5	21	2	29	6	16	0	15	4	29	15	15	16	30	-2	7	2	41	40.796078	-73.970924
6	11	16	24	16	3	16	0	16	25	7	6	4	26	-2	6	1	45	40.716293	-73.991768
7	21	5	26	3	16	3	15	0	26	18	18	17	27	1	6	5	49	40.802586	-73.956795
8	19	31	3	27	26	31	26	28	0	29	29	26	6	-4	7	1	57	40.641407	-73.788528
9	14	13	27	18	5	14	6	16	28	0	3	4	28	1	7	5	66	40.721645	-74.011452
10	13	14	26	18	5	15	6	17	27	3	0	5	27	1	7	3	73	40.714813	-74.009689
11	12	16	25	17	3	16	4	17	26	5	5	0	27	1	7	1	89	40.719452	-73.997314
12	20	33	7	29	27	32	27	30	8	31	30	27	0	1	7	0	91	40.64505	-73.778877

