15	2	20	0																			
0	0	26	32	23	17	17	19	29	16	27	31	20	15	18	17	29	0	0	0	0	-30.0915683	-51.1759996
1	26	0	44	13	22	11	24	45	24	39	45	16	27	30	32	44	4	7	5	13	-30.1548004	-51.1282709
2	34	44	0	50	37	44	39	11	35	9	7	29	32	35	21	8	2	7	5	30	-29.9948825	-51.1101914
3	23	13	48	0	14	9	16	46	16	43	48	23	20	23	34	46	-3	7	0	43	-30.1786254	-51.1732529
4	17	22	36	14	0	14	5	34	4	31	36	31	8	10	21	34	3	7	4	46	-30.1320997	-51.2207585
5	17	11	44	8	14	0	16	42	15	38	44	21	18	21	30	42	-5	6	0	50	-30.1546904	-51.1625025
6	20	25	39	18	6	17	0	36	7	34	38	34	9	9	24	36	-3	6	0	51	-30.1252615	-51.2378861
7	29	44	11	46	33	42	35	0	31	10	8	29	27	29	19	6	4	6	5	54	-29.9964907	-51.1472175
8	16	23	34	16	3	15	5	31	0	29	34	30	6	8	19	31	1	6	5	66	-30.120174	-51.2245461
9	29	38	8	44	32	38	34	10	29	0	9	23	26	29	15	8	-2	7	3	73	-30.023853	-51.1242365
10	33	45	7	49	37	45	38	7	34	9	0	30	31	32	22	4	3	7	5	79	-29.9928995	-51.1211057
11	20	16	29	23	31	21	33	29	30	24	30	0	28	31	17	28	-2	6	4	81	-30.1169701	-51.1083376
12	15	27	31	20	7	18	9	28	5	26	30	28	0	4	16	28	2	7	5	85	-30.0981043	-51.2342119
13	17	30	34	23	10	21	12	31	8	28	33	30	4	0	19	31	3	6	4	89	-30.0951954	-51.2427798
14	17	31	21	35	22	31	24	20	20	16	22	16	17	20	0	20	-3	7	0	97	-30.0696505	-51.1612664
15	31	43	8	47	34	43	36	5	32	7	4	28	29	30	20	0	-4	7	0	100	-29.998108	-51.1290285
