20	2	20	0																								
0	0	18	13	18	19	20	13	17	18	20	18	15	17	17	19	17	12	16	16	16	18	0	0	0	0	-30.0511681	-51.1711016
1	19	0	28	30	3	4	28	3	31	31	31	30	5	31	34	32	27	31	5	31	32	-1	6	0	5	-30.1162069	-51.1139739
2	14	27	0	29	28	29	4	26	29	30	28	6	26	8	30	28	4	7	24	7	28	-1	7	0	12	-30.0933168	-51.2158887
3	20	30	31	0	31	32	31	29	5	2	5	33	29	33	9	6	29	33	28	34	9	-5	6	0	16	-29.994317	-51.1071438
4	21	5	30	32	0	4	30	6	33	33	33	32	7	33	36	34	29	33	7	33	34	1	6	2	17	-30.1225961	-51.1103271
5	20	3	29	31	3	0	29	5	31	32	31	30	5	32	34	32	27	31	5	31	33	3	7	4	19	-30.1238232	-51.1070364
6	16	28	6	31	29	30	0	27	31	32	30	4	28	5	32	30	6	4	26	5	30	2	6	3	27	-30.0934491	-51.2255771
7	18	3	27	29	4	5	27	0	30	30	29	29	4	30	32	30	25	29	3	29	31	-1	7	4	39	-30.1123102	-51.1113289
8	20	30	31	4	31	32	30	29	0	5	1	32	29	31	6	3	29	33	28	31	6	2	7	5	42	-29.9878483	-51.1151478
9	21	31	32	2	32	33	32	30	6	0	6	34	30	34	11	7	30	34	28	34	10	1	6	2	46	-29.9956611	-51.1038722
10	19	30	30	3	31	32	30	29	1	5	0	31	29	30	5	2	28	32	28	31	5	1	6	2	47	-29.9863545	-51.1163375
11	16	29	7	31	30	31	4	28	32	33	31	0	28	5	32	30	6	4	27	2	31	2	7	4	48	-30.0861637	-51.228815
12	18	5	27	29	5	6	27	5	30	30	29	29	0	30	33	31	25	29	2	30	31	-3	7	2	55	-30.1066045	-51.1067317
13	18	30	8	31	31	33	6	30	31	33	30	5	30	0	33	31	8	4	28	3	31	2	6	2	62	-30.0905202	-51.2411499
14	20	32	31	8	33	34	31	31	6	10	5	32	31	32	0	5	29	33	30	32	4	-2	7	0	63	-29.9788007	-51.1256232
15	19	31	29	5	32	33	29	30	3	7	2	31	30	30	5	0	28	32	28	30	5	1	6	5	66	-29.9894565	-51.1210154
16	13	25	4	28	26	28	4	25	28	29	27	6	25	8	29	27	0	7	23	7	27	2	6	5	77	-30.0891742	-51.213464
17	17	30	7	32	31	32	4	29	32	34	31	4	29	4	33	31	7	0	27	3	31	-2	7	3	79	-30.0897687	-51.2310905
18	16	5	25	27	6	7	25	4	28	29	28	27	2	29	31	29	24	28	0	28	29	1	6	4	85	-30.1059218	-51.111828
19	17	30	7	32	31	32	5	29	31	34	31	2	29	3	33	31	7	3	28	0	31	1	6	1	86	-30.0870265	-51.2343433
20	19	31	30	8	32	33	29	30	6	9	5	31	30	30	5	4	28	32	28	30	0	-4	7	1	94	-29.9896184	-51.1332826

