12	2	20	0																
0	0	32	17	17	22	33	27	14	17	21	20	15	18	0	0	0	0	-30.0915683	-51.1759996
1	34	0	37	44	16	14	47	24	35	48	29	32	19	-2	7	2	30	-29.9948825	-51.1101914
2	17	36	0	14	26	38	12	18	8	18	31	14	23	-3	6	2	46	-30.1320997	-51.2207585
3	17	44	14	0	34	45	18	27	19	7	21	23	31	3	6	1	50	-30.1546904	-51.1625025
4	24	15	27	36	0	18	37	13	24	41	23	21	9	2	6	2	55	-30.0196058	-51.1599768
5	36	14	39	45	19	0	49	25	36	48	30	34	23	-2	6	0	58	-30.0249068	-51.0870989
6	27	46	12	19	36	48	0	29	18	23	37	24	33	-2	6	1	59	-30.1638159	-51.2289545
7	14	22	17	27	12	24	27	0	15	32	20	12	9	-3	6	2	65	-30.0580221	-51.1924488
8	17	33	8	19	23	35	18	16	0	23	30	11	20	2	6	4	76	-30.1074715	-51.239751
9	21	47	18	7	39	48	22	31	23	0	19	27	36	1	7	4	77	-30.1660188	-51.1408905
10	20	29	31	21	24	30	36	20	31	20	0	29	26	2	6	3	81	-30.1169701	-51.1083376
11	15	32	14	23	21	33	23	14	11	28	29	0	14	1	6	2	84	-30.0766344	-51.2300101
12	20	20	24	33	10	23	34	10	21	37	27	15	0	1	6	5	91	-30.0208984	-51.2001086

